	Plate	Well
0	LT0014_12	159
1	LT0105_04	144
2	LT0094_44	319
3	LT0017_19	365
4	LT0157_04	005
5	LT0100_03	093
6	LT0094_04	319
7	LT0144_01	166
8	LT0093_13	147
9	LT0098_13	021
10	LT0067_02	099
11	LT0109_38	349
12	LT0109_38	381
13	LT0109_38	338
14	LT0026_22	258
15	LT0066_19	287
16	LT0065_04	020
17	LT0047_27	140
18	LT0039_45	136
19	LT0106_02	287
20	LT0013_42	107
21	LT0038_01	245
22	LT0038_08	250
23	LT0093_17	114
24	LT0035_06	274
25	LT0065_06	054
26	LT0094_01	319
27	LT0043_48	166
28	LT0027_44	292
29	LT0027_44	030
30	LT0028_14	129
31	LT0064_14	003
32	LT0046_19	356
33	LT0101_01	277
34	LT0041_32	132
35	LT0048_14	335
36	LT0096_33	255
37	LT0030_17	184
38	LT0155_02	024
39	LT0090_33	383
40	LT0038_27	250
41	LT0044_36	249
42	LT0111_45	053
43	LT0132_31	053
44	LT0013_38	042
45	LT0023_04	005
46	LT0042_10	044
47	LT0042_10	144
48	LT0084_46	003
49	LT0089_01	175
50	LT0066_23	163
51	LT0138_03	127
